request_type,request_type_label,owning_unit,service_category,service_group,recurrence_family,is_condition_report
(none),(none),Other,General / Miscellaneous,General,general,false
CE-Accumulation of Stagnant,Accumulation of Stagnant,Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Code Miscellaneous,Code Miscellaneous,Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Downtown Cleanup,Downtown Cleanup,Code Enforcement,Illegal Dumping & Litter,Environmental & Right-of-Way,blight,true
CE-Junky Yard,Junky Yard,Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Open Storage and Furnishin,Open Storage and Furnishin,Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Recreational Vehicle Illeg,Recreational Vehicle Illeg,Code Enforcement,Vehicle Violations,Code Enforcement,blight,true
"CE-Substandard,Derelict Struc","Substandard,Derelict Struc",Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Vacant Lot Code Violation,Vacant Lot Code Violation,Code Enforcement,Property Code Violations,Code Enforcement,blight,true
CE-Vehicle Violations,Vehicle Violations,Code Enforcement,Vehicle Violations,Code Enforcement,blight,true
CE-Weeds Occupied Property,Weeds Occupied Property,Code Enforcement,Weeds & Overgrowth,Environmental & Right-of-Way,blight,true
COMM - Miscellaneous,Miscellaneous,Code Enforcement - Commercial,Property Code Violations,Code Enforcement,blight,true
COMM-Graffiti,Graffiti,Code Enforcement - Commercial,Graffiti,Environmental & Right-of-Way,blight,true
COMM-Junky Property,Junky Property,Code Enforcement - Commercial,Property Code Violations,Code Enforcement,blight,true
COMM-Pot Holes,Pot Holes,Code Enforcement - Commercial,Potholes & Pavement,Streets & Drainage,street_surface,true
"COMM-Substandard Delelict, Struc","Substandard Delelict, Struc",Code Enforcement - Commercial,Property Code Violations,Code Enforcement,blight,true
COMM-Vehicle Violation,Vehicle Violation,Code Enforcement - Commercial,Vehicle Violations,Code Enforcement,blight,true
COMM-Weeds Occupied Property,Weeds Occupied Property,Code Enforcement - Commercial,Weeds & Overgrowth,Environmental & Right-of-Way,blight,true
CW-Miscellaneous,Miscellaneous,Community Weeds (Grounds),Weeds & Overgrowth,Environmental & Right-of-Way,blight,true
CW-Weeds Vacant Houses,Weeds Vacant Houses,Community Weeds (Grounds),Weeds & Overgrowth,Environmental & Right-of-Way,blight,true
CW-Weeds Vacant Lots,Weeds Vacant Lots,Community Weeds (Grounds),Weeds & Overgrowth,Environmental & Right-of-Way,blight,true
EE-Bulk Trash,Bulk Trash,Environmental Enforcement,Illegal Dumping & Litter,Environmental & Right-of-Way,blight,true
EE-Carts Out After Hours,Carts Out After Hours,Environmental Enforcement,Carts Out After Hours,Code Enforcement,blight,true
EE-Illegal Dumping,Illegal Dumping,Environmental Enforcement,Illegal Dumping & Litter,Environmental & Right-of-Way,blight,true
EE-Illegal Signs,Illegal Signs,Environmental Enforcement,Graffiti,Environmental & Right-of-Way,blight,true
EMI-Cave In,Cave In,Environmental Maintenance (Sewer),Cave-ins & Street Sinking,Streets & Drainage,street_surface,true
EMI-Manhole Cover Problem,Manhole Cover Problem,Environmental Maintenance (Sewer),Sewer,Streets & Drainage,drainage_sewer,true
EMI-Repair Miscellaneous,Repair Miscellaneous,Environmental Maintenance (Sewer),Sewer,Streets & Drainage,drainage_sewer,true
